SUBJECT,Subject,LOCATION,Country,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Aug-14,Aug-14,PC,Percentage,0,Units,,,3.086,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Sep-14,Sep-14,PC,Percentage,0,Units,,,3.012,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Oct-14,Oct-14,PC,Percentage,0,Units,,,2.769,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Nov-14,Nov-14,PC,Percentage,0,Units,,,2.692,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Dec-14,Dec-14,PC,Percentage,0,Units,,,2.681,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jan-15,Jan-15,PC,Percentage,0,Units,,,2.415,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Feb-15,Feb-15,PC,Percentage,0,Units,,,2.346,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Mar-15,Mar-15,PC,Percentage,0,Units,,,2.276,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Apr-15,Apr-15,PC,Percentage,0,Units,,,2.177,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,May-15,May-15,PC,Percentage,0,Units,,,2.49,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jun-15,Jun-15,PC,Percentage,0,Units,,,2.468,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jul-15,Jul-15,PC,Percentage,0,Units,,,2.45,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Aug-15,Aug-15,PC,Percentage,0,Units,,,2.308,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Sep-15,Sep-15,PC,Percentage,0,Units,,,2.216,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Oct-15,Oct-15,PC,Percentage,0,Units,,,2.088,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Nov-15,Nov-15,PC,Percentage,0,Units,,,2.254,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Dec-15,Dec-15,PC,Percentage,0,Units,,,2.181,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jan-16,Jan-16,PC,Percentage,0,Units,,,2.025,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Feb-16,Feb-16,PC,Percentage,0,Units,,,1.826,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Mar-16,Mar-16,PC,Percentage,0,Units,,,1.854,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Apr-16,Apr-16,PC,Percentage,0,Units,,,1.81,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,May-16,May-16,PC,Percentage,0,Units,,,1.787,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jun-16,Jun-16,PC,Percentage,0,Units,,,1.617,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jul-16,Jul-16,PC,Percentage,0,Units,,,1.401,,
